15 -20
27 -25
33 22
17 -6
4 -11
43 -10
17 23
24 14
46 30
31 3
20 3
45 3
29 18
34 8
16 26
6 -23
12 23
1 -8
37 1
36 -13
15 6
20 -24
11 13
44 19
17 -11
13 15
49 11
18 -19
21 -8
40 2
3 7
42 -28
50 -9
37 13
13 27
33 0
37 13
29 -19
8 -23
16 -25
45 -4
9 30
32 -2
50 19
3 18
11 2
15 -10
10 25
10 -13
9 25
33 16
11 9
29 14
16 -12
7 -4
45 22
50 3
41 1
19 -4
47 10
46 0
21 19
44 26
47 -25
49 -24
39 -24
26 -6
19 28
47 23
2 -4
1 9
47 -22
4 21
8 9
22 -15
16 -10
45 30
47 -27
29 30
37 28
47 -17
48 -28
49 30
4 6
48 -15
40 5
30 4
40 -13
18 25
25 21
48 -15
37 -12
9 -29
17 11
32 2
15 -28
35 -9
31 -8
49 23
1 -18
